"Name","Id","MemoryMB","CPU"
"msedgewebview2","21404","67,99","18,8125"
"ipf_helper","10592","6,83","5,046875"
"CodeSetup-stable-072586267e68ece9a47aa43f8c108e0dcbf44622.tmp","47048","47,85","8,53125"
"msedgewebview2","39372","34,23","12,203125"
"Code","47064","301,86","12,75"
"msedgewebview2","3368","300,83","37,75"
"explorer","40256","296,23","31,4375"
"uihost","32240","28,66","5,34375"
"RiotClientServices","23012","24,79","8,984375"
"chrome","11036","227,98","28,015625"
"Code","10124","173,25","6,0625"
"Code","48108","156,87","6,28125"
"chrome","46332","146,52","21,765625"
"chrome","41444","136,76","10,203125"
"msedgewebview2","37712","129,54","10,015625"
"WhatsApp.Root","7552","108,84","13,40625"
