"Name","Id","MemoryMB","CPU"
"msedgewebview2","21404","68,51","22,375"
"ipf_helper","10592","6,85","5,859375"
"msedgewebview2","36496","58,97","6,328125"
"CodeSetup-stable-072586267e68ece9a47aa43f8c108e0dcbf44622.tmp","47048","47,71","8,53125"
"msedgewebview2","39372","35,53","13,390625"
"rsAppUI","23600","30,04","5,015625"
"Code","47064","285,25","45,15625"
"uihost","32240","28,13","6,125"
"ctfmon","45220","27,45","5,390625"
"explorer","40256","267,57","33,734375"
"msedgewebview2","3368","266,88","52,546875"
"rsAppUI","42324","26,59","6,125"
"RiotClientServices","23012","24,23","9,96875"
"chrome","11036","214,23","39,84375"
"Code","10124","183,90","38,90625"
"chrome","46332","145,44","25,6875"
"Code","48108","141,83","14,046875"
"msedgewebview2","37712","129,53","12,3125"
"WhatsApp.Root","7552","107,43","19,71875"
"chrome","41444","102,70","11,6875"
