"Name","Id","MemoryMB","CPU"
"msedgewebview2","21404","68,68","22,1875"
"ipf_helper","10592","6,85","5,828125"
"msedgewebview2","36496","59,05","6,328125"
"CodeSetup-stable-072586267e68ece9a47aa43f8c108e0dcbf44622.tmp","47048","47,77","8,53125"
"msedgewebview2","3368","299,30","52,453125"
"Code","47064","295,90","42,84375"
"explorer","40256","282,03","33,71875"
"uihost","32240","28,16","6,0625"
"ctfmon","45220","27,45","5,328125"
"chrome","11036","264,84","39,71875"
"msedgewebview2","39372","26,84","13,359375"
"rsAppUI","42324","26,58","6,0625"
"RiotClientServices","23012","24,23","9,890625"
"Code","10124","178,49","36,796875"
"chrome","46332","145,54","25,46875"
"Code","48108","142,72","13,03125"
"msedgewebview2","37712","135,04","12,3125"
"WhatsApp.Root","7552","108,18","19,671875"
"chrome","41444","105,64","11,6875"
