"Name","Id","MemoryMB","CPU"
"msedgewebview2","3368","90,83","20,375"
"CodeSetup-stable-072586267e68ece9a47aa43f8c108e0dcbf44622.tmp","47048","47,24","8,484375"
"msedgewebview2","21404","40,32","15,453125"
"msedgewebview2","39372","40,24","11,15625"
"explorer","40256","331,04","29,828125"
"chrome","11036","303,64","27,015625"
"RiotClientServices","23012","29,64","8,59375"
"uihost","32240","29,52","5,0625"
"Code","47064","262,84","7,859375"
"chrome","41444","151,52","10,09375"
"chrome","46332","149,42","21,03125"
"msedgewebview2","37712","130,85","9,75"
"WhatsApp.Root","7552","104,69","8"
